title,date_company,content
"與, 소득 없는 1주택 고령자 종부세 부담 완화 검토",2021.05.07 | 매경이코노미 | 다음뉴스,소득 없는 1주택 고령자에 대한 종부세 부담이 점차 완화될 것으로 보인다. 5월 7일 매일경제신문에 따르면 더불어민주당은 소득 없는 1주택 고령자를 대상으로 주택 상속...
"경기도, 고령자 대상 코로나19 백신 접종 당부",12분전 | 뉴스핌,대비 편익이 높은 고위험군에 대한 접종에 전력해야 할 때라며 사전 예약이 시작된 고령자의 백신 접종을 당부했다. 코로나19 백신 접종[사진=뉴스핌DB] 2021.05.06...
고령자 백신 접종 순차 실시,18시간전 | 기호일보,고령자 백신 접종 순차 실시
"""가정의달, 보험선물 골라볼까..어린이·고령자 가입률 낮아""",2021.05.03 | 연합뉴스 | 다음뉴스,연합뉴스 자료사진] (세종=연합뉴스) 하채림 기자 = '가정의 달'은 어린이와 고령자를 보호하는 '보험 선물'에 관심이 커지고 업계의 마케팅도 활발한 시기다. 3일 생명보험...
[박민선의 건강제안] 고령자·기저질환자 코로나19 백신 꼭 맞으...,2021.05.10 | 건강 다이제스트,"검증되지 않은 뉴스도 퍼지고 있어, 대부분 기저질환을 한두 개쯤 앓고 계시는 고령자들께서 백신을 맞아도 좋을지를 묻는 경우가 진료실에서도 빈번하게 일어납니다.어떤..."
"""동 지역 주민은 접종했는데"" 제주 읍·면 고령자 백신 소외감",2021.05.05 | 연합뉴스 | 다음뉴스,연합뉴스 자료 사진] 제주도는 전국적인 화이자 백신 수급 불안으로 만 75세 이상 고령자를 대상으로 한 신규 접종을 제주시는 7일까지만 진행하고 서귀포시는 4일까지 진행...
"생보협회 ""어린이·고령자 보험, 5월 선물로 어떠세요?""",2021.05.03 | 헤럴드경제 | 다음뉴스,[헤럴드경제=정경수 기자] 생명보험협회는 3일 가정의 달 선물로 어린이·고령자 보험상품을 추천했다. 19세 이하와 65세 이상 연령층의 의료비는 크게 늘고 있지만 여전히...
"日 ""7월 중 고령자 접종 완료"".. '백신 속도전' 가능할까",2021.05.02 | 한국일보 | 다음뉴스,"기자회견을 하기 전 마스크를 벗고 있다. 이날 스가 총리는 ""7월 말까지 원하는 고령자 모두 코로나19 백신을 접종할 수 있도록 완료하겠다""고 밝혔다. 도쿄=교도 AP 연합..."
장애인·고령자 등 누구나 편리하게 버스여행 떠나요~,2021.05.06 | 스포츠경향 | 다음뉴스,서울관광재단이 ‘서울다누림버스’ 운행을 시작했다. 서울다누림버스는 장애인과 고령자 등 관광 약자를 포함해 누구나 편리하게 서울을 여행할 수 있도록 하기 위해 도입...
"'백신 하세월' 일본에 전화 불통 사태..""고령자 예약 때문인 듯""",2021.05.08 | 연합뉴스 | 다음뉴스,11시 43분까지 NTT동일본이 일반전화 착신을 제한했다. 인터넷에 익숙하지 않은 고령자들이 접종 예약을 위해 구청 등에 일제히 전화를 걸면서 이런 상황이 벌어졌을 것으로...
김기현 '코로나 이후 청년·여성·고령자 일자리는?',2021.05.06 | 뉴스1 | 다음뉴스,대행 겸 원내대표가 6일 오후 서울 여의도 국회에서 '포스트 코로나 청년·여성·고령자 일자리 활성화 방안'을 주제로 정책위원회·여의도연구원이 공동주최한 세미나에...
"브라질 ""봉쇄 속 백신접종 효과""..상파울루 고령자 사망 급감",2021.04.29 | 연합뉴스 | 다음뉴스,김재순 특파원 = 브라질에서 지난 1월 중순부터 코로나19 백신 접종이 시작된 이후 고령자 사망이 눈에 띄게 줄어든 것으로 나타났다. 특히 브라질에서 코로나 확진·사망자...
강원 18개 시군 중 12개 시군 고령자 접종 중단,2021.05.03 | KBS | 다음뉴스,"[KBS 춘천] [앵커] 강원도에서, 만75살 이상 고령자들에 대한 코로나19 예방 백신 접종 중단 사태가 속출하고 있습니다. 백신 수급 불안 때문입니다. 엄기숙 기자입니다..."
"60~74살 고령자 백신 접종, 언제 어디서 예약하면 되나요?",2021.05.04 | 한겨레 | 다음뉴스,"국립중앙의료원 제공. 이번 달과 다음 달 코로나19 백신을 접종받는 60~74살 고령자와 만성중증호흡기 질환자, 유치원·어린이집 및 초등학교(1·2학년) 교사·돌봄인력 등..."
이달 6일부터 다음달 3일까지 고령자 예방접종 예약 순차 진행,2021.05.04 | KBS | 다음뉴스,"정부가 고령층 예방접종 대상자 범위를 확대한 가운데, 이달 6일부터 70-74세 고령자를 시작으로 다음 달 3일까지 예방접종 예약이 가능합니다. 코로나19 예방접종 대응..."
"곡성군, 고령자 비대면 건강관리 서비스 제공",2021.05.07 | 프레시안 | 다음뉴스,"곡성군은 고령독거인 또는 만성질환(고혈압, 당뇨 외) 등 건강위험요인이 있는 고령자들을 우선순위로 약 600여 명에게 서비스를 제공한다는 계획이다. 군 관계자는 “의료..."
"日 고령자 코로나19 접종 예약, 1분에 200만 건 폭주 중단 말썽",2021.05.04 | 노컷뉴스 | 다음뉴스,연합뉴스 일본에서 고령자에 대한 코로나19 접종 예약시스템이 과부하로 중단돼 말썽을 빚고 있다. 요미우리신문은 4일 요코하마시(横浜市) 사례를 들어 이같이 보도했다...
고령자 의료비 10년새 3배↑..효도보험 선물해볼까 [차은지의 금...,2021.05.06 | 한국경제 | 다음뉴스,부모님께 선물할 만한 보험에 대해 알아보자. 소득 줄어드는데…65세 이상 고령자 의료비 급증 6일 관련업계에 따르면 각종 질병에 대한 치료제가 개발되고 의료기술이 발전...
장애인·고령자·유모차도 편히 떠나는 경기도 여행지 8곳,2021.05.10 | 여성신문,"용인 자연휴양림 등 8곳을 선정했다고 9일 밝혔다. 무장애 관광지란 장애인, 고령자, 영유아 동반자 등 이동이 불편한 사람들이 편안하게 여행할 수 있는 관광지를 말한다..."
"가천대, 고령자 비대면 돌봄 서비스 개발 착수",2021.05.06 | 파이낸셜뉴스 | 다음뉴스,고령인구 통합 돌봄 서비스의 모델이 될 것”이라고 말했다. #가천대 #인천남동구 #고령자돌봄 #엘지유플러스 kapsoo@fnnews.com 한갑수 기자 ※ 저작권자 ⓒ 파이낸셜뉴스...
가정의 달 맞아 어린이·고령자 생명보험 출시 잇달아,2021.05.03 | 신아일보,"변화에 따라 보장을 강화한 어린이보험과 다양한 간병케어 서비스를 지원하는 고령자보험을 제공하고 있다.3일 생명보험협회에 따르면, 생보사들이 5월 가정의 달을 맞아..."
장애인 고령자 등 관광약자 위한 서울다누림버스 운행 개시,2021.05.03 | 스포츠동아 | 다음뉴스,"서울다누림버스 운행을 개시한다. 서울다누림버스는 서울관광재단에서 장애인, 고령자 등 관광약자를 위한 ‘유니버설 관광환경 조성 사업’의 일환으로 2019년 도입한..."
"전북바이오융합산업진흥원, 고령자용 영양관리 스마트앱 개발",2021.05.05 | 전북일보,전라북도와 전북바이오융합진흥원(원장 김동수)이 고령자 건강관리를 위한 영양관리 스마트 앱 시스템을 구축했다고 5일 밝혔다. 이 시스템은 고령자들의 건강관리를 위해...
"""고령자 입원순서 뒤로 미뤄라""..日 오사카부 메일 '물의'",2021.04.30 | KBS | 다음뉴스,일본 오사카부(大阪府)가 코로나19 확진 판정을 받은 고령자에 대해 ‘입원 순서를 뒤로 미루라’는 내용의 메일을 각 보건소에 보낸 사실이 드러나 물의를 빚고 있습니다...
"美 CDC, 화이자·모더나 백신 고령자 입원 크게 감소 효과",2021.04.29 | 파이낸셜뉴스 | 다음뉴스,AP뉴시스 모더나와 화이자가 바이오엔테크와 공동개발한 코로나19 백신이 65세 이상 고령자들의 입원을 크게 떨어뜨리는 효과가 입증됐다고 미국 질병통제예방센터(CDC)가...
"“가정의 달, 어린이·고령자 보험 선물 하세요”",2021.05.03 | 매일일보,[매일일보 홍석경 기자] 생명보험협회는 3일 “어린이와 고령자는 의료비 지출이 상대적으로 많지만 생명보험 가입률을 오히려 저조한 편”이라며 가정의 달 선물로 어린이...
"고령자 농기계 안전사고, 세심한 주의가 예방",2021.05.06 | 통합뉴스,그 중 대부분이 농업에 종사하고 있으며 농사가 시작되는 4월부터 10월 사이 고령자의 농기계 사용이 늘어남에 따라 농기계 안전사고 또한 빈번하게 발생하고 있다. 고령자...
"안양시, 혼자 사는 어르신 가정에 고령자 안심단말기 무료 설치 지원",2021.05.06 | 서울경제 | 다음뉴스,[서울경제] 안양시는 혼자 사는 65세이상 어르신 가정에 고령자 안심단말기를 무료로 설치 지원한다고 6일 밝혔다. 이 서비스는 낙상이나 호흡곤란 등 긴급상황 발생 시...
제주도내 고령자 운전면허 자진 반납률 4.5% '저조',2021.04.26 | KBS | 다음뉴스,[KBS 제주]도내 고령 운전자의 교통사고가 잇따르고 있지만 고령자 교통사고 예방을 위해 도입된 ‘운전면허 자진 반납제도’는 저조한 것으로 나타났습니다. 제주도경찰청...
"권덕철 ""대규모 유행 가능한 불안한 국면..50일간 고령자 접종 중요""",7시간전 | 이데일리 | 다음뉴스,[이데일리 함정선 기자] 권덕철 중앙재난안전대책본부 1차장(보건복지부장관)이 코로나19 대규모 유행이 발생할 수 있는 불안한 국면이 지속하고 있어 기세를 완전히 꺾기...
"오세현 아산시장, 장애인·고령자가구 주거환경개선 현장 점검",2021.05.07 | 아시아투데이,국민기초생활수급자 수선유지급여 85가구 △농어촌장애인주택 개조사업 8가구 △고령자주택 주거환경개선사업 7가구 △아산시 주거약자 주택개량사업 6가구에 보수 범위별로...
변이 바이러스 감염 15% 육박..고령자 AZ 접종 예약 모레부터 시작,2021.05.04 | KBS | 다음뉴스,백신 43만 6천 회분이 들어올 예정입니다. 모레부터는 70에서 74세 어르신을 시작으로 고령자 아스트라제네카 접종 사전 예약이 시작됩니다. KBS 뉴스 양성모입니다. 영상...
"소아·고령자 고위험군 대상, 항바이러스제 급여 종료",2021.05.08 | 약사공론,"오는 10일, 소아·고령자·면역저하자 등 독감 고위험군을 대상으로 타미플루 등 항바이러스제 급여가 종료된다.지난 7일 보건복지부는 ‘동절기 코로나-인플루엔자 동시..."
"""미세먼지가 고령자 인지기능·뇌건강까지 해친다""",2021.05.04 | 연합뉴스 | 다음뉴스,더 악화했다는 뜻이다. 이번 연구 참가자들은 모두 백인이었고 평균연령은 69세의 고령자였다. 특히 이 논문에는 소염진통제가 뇌의 염증반응을 줄이는 데 도움이 될 수...
"고령자 1300만 목표에 '갸우뚱' ..""숫자보다 1·2차 완전접종률 ...",2021.05.03 | 뉴스1 | 다음뉴스,"수 있음을 시사하고 오는 11월 집단면역 달성 목표 의지도 재확인했다. 전문가들은 고령자에 대한 백신 수급 확대에 환영한다고 입을 모으면서도, 1300만명이라는 숫자에..."
"김부겸 ""고령자 종부세 경감 논의""",2021.05.05 | 매일일보,후보자가 정부의 부동산 과세 방침 유지 필요성을 강조하면서도 1주택자 가운데 고령자와 은퇴자에 대한 종합부동산세(종부세) 경감 방안을 논의하겠다고 밝혔다. 김 후보자...
"김부겸 ""은퇴·고령자 종부세 완화 고민..공급 차질없이 진행""(종합)",2021.05.06 | 뉴스1 | 다음뉴스,"징벌적 과세가 아니냐'는 일부 반발이 있어서 장기간 보유하고 (있는) 은퇴자·고령자에 대한 최소한도의 정책 탄력성을 보여줘야 하지 않겠느냐는 지적이 있다""고 답했다..."
"동작구, 고령자·장애인 대상 구민인식조사",2021.05.10 | 헤럴드경제 | 다음뉴스,구청 직원이 독거노인 가정을 찾아 혈압을 체크하고 있다. [동작구 제공] [헤럴드경제=한지숙 기자] 서울 동작구(구청장 이창우)가 이 달부터 두달 간 ‘2021년 복지분야...
"서울본부, 고령자 사고 예방사업 공동 추진",2021.05.07 | 교통신문,"어르신들의 소중한 생명을 보호하자는 취지에서 마련됐다. 협약식에서 각 기관은 고령자 교통사고 예방사업 합동 추진, 교통안전 취약지점 시설개선 방안 건의, 노인보호..."
"광양시, 고령자 운전면허증 반납 받는다",2021.05.06 | 메트로신문,광양시는 고령자 운전면허증을 반납 받는다. 면허증이 취소되면 10만 원 상당의 광양사랑상품권을 지급한다. 광양시는 11월 말일까지 고령 운전자(1956년 12월 31일 이전...
"대구시, 수성구·달성군 75세 이상 고령자 백신접종",2021.04.21 | 뉴시스 | 다음뉴스,대구시 행정부시장)은 오는 22일부터 수성구·달성군 예방접종센터에서 75세 이상 고령자들에 대한 화이자 백신접종을 시작한다. 21일 대구시에 따르면 2분기 코로나19 예방...
"고령자 백신 사전예약 첫날, 11.5% 예약완료",2021.05.07 | 스카이데일리,의 11.5%가 넘는 24만6000명이 예약을 완료했다고 밝혔다. [ⓒ스카이데일리] 70세~74세 고령자를 대상으로 진행한 사전예약 시작 첫날 대상자의 11.5%가 예약을 완료한 것...
"생보협회 “어린이·고령자, 질병발생 위험 대비 부족하다”",2021.05.03 | 조세일보,2019년 기준 전체 가구의 소비지출 중 의료비 비중은 6.6%에 불과하지만 65세 이상 고령자 가구의 의료비는 14.1%에 달한다. 동 기간 동안 국민총소득(GDP)이 80.2%(1.8배...
70세이상 고령자 성형수술 '급증'..'동안 성형' 빈도 높아,2021.04.22 | 헤럴드경제 | 다음뉴스,이상 증가했다. 특히 올해 1~3월은 전년 동기 대비 40% 이상 급증했다. 70세 이상 고령자의 수술 건수를 분석한 결과 가장 많이 찾은 수술은 눈성형으로 나타났다. 그 뒤로...
"동서대 링크플러스사업단과 카이언스, 고령자의 행복한 삶 프로젝...",2021.04.20 | 한국경제 | 다음뉴스,의 공동 기획 및 운영을 위한 업무협약을 체결했다고 20일 밝혔다. 이번 협약식은 고령자의 빈곤 및 고독 문제를 공동으로 인식하고 문화예술 특성화 대학의 인프라와 휴먼...
"안산시 지원, 북한 이탈주민 무연고 공영장례! 북한 이탈주민 3만...",2021.05.07 | 일간투데이,"34,000명이 남한에 정착해 사는 것으로 조사했다. 이 중 50대가 18.7% 60대 이상 고령자는 3,740명으로 11%다. 거주지 분포를 살펴보면 경기도 30.7%로 가장 높고 서울이..."
"고령자 백신 접종, 자원봉사자 힘 보탠다",2021.04.14 | KTV | 다음뉴스,"강수민 앵커> 고령자 백신 접종이 시작된 지 보름 정도 지났는데요. 백신 접종 현장에서 의료진 만큼 바쁜 분들이 있습니다. 이동부터 문진표 작성, 또 접종 후 안정과 귀가..."
"[전문가 인터뷰] 최원석 교수 ""고령자일수록 백신 접종 더 중요""",2021.05.08 | KBS | 다음뉴스,[앵커] 오늘(8일) 어버이날을 맞아서 고령층 백신 관련해 궁금하신 점들 전문가에게 묻는 시간 마련했습니다. 고대안산병원 감염내과 최원석 교수 나와 있습니다. 안녕...
"잇단 '백신 악재' 돌파구는..""접종 더디다면 고령자 우선 접종""",2021.04.20 | 뉴스1 | 다음뉴스,"올해 백신접종 계획의 조정이 필요하다고 입을 모았다. 접종 우선순위를 중증환자와 고령자로 초점을 맞춰 사망률을 줄이고, 필요하다면 신속항원키트를 통한 반복검사로..."
"[매경 욜드포럼] 한세미 교수 ""65세 이상 고령자, 여가시간 일 평...",2021.04.21 | 매일경제 | 다음뉴스,한세미 차의과학대 교수가 고령자 대상 여가활동 강의를 하고 있다. [사진 = 유용석 기자] 한세미 차의과학대학교(고령친화산업학과) 교수는 21일 서울 마포 베스트웨스턴...
"일본, 오늘 65세 이상 고령자 백신 접종 개시",2021.04.12 | 뉴시스 | 다음뉴스,"확인했다. 2021.04.07. [서울=뉴시스] 김혜경 기자 = 일본에서 12일 65세 이상 고령자를 대상으로 코로나19 백신 접종이 시작됐다. NHK 및 니혼게이자이신문에 따르면, 12일..."
"60세 이상 고령자, 접종 2주 후 감염 예방효과 86% 이상",2021.05.03 | 뉴시스 | 다음뉴스,지난 2월 말부터 지난달 말까지 두 달간 국내 코로나19 백신을 1차 접종한 60세 이상 고령자를 대상으로 접종 효과를 분석한 결과 접종 2주 후부터 86% 이상의 감염 예방...
[아주 쉬운 뉴스 Q&A] 고령자 채용하면 국가가 지원금을 준다고?,2021.04.24 | 아주경제신문,근로자들이 많아지고 있습니다. 하지만 회사 측에서는 임금 인상 부담 등의 문제로 고령자의 계속 고용을 망설이기도 하는데요. 우리나라의 고령화는 빠른 속도로 이뤄지고...
일본의 개정 고령자고용안정법의 주요 내용과 시사점,2021.04.26 | 월간 노동법률,"1. 일본의 고령화 현황과 고령자고용 일본 후생노동성 통계에 따르면, 2019년 기준 65세 이상의 인구는 3,589만명으로 전체 인구 1.26억명의 약 28.4%를 차지하고 있다..."
"""미세먼지, 폐·심장 뿐만 아니라 고령자 뇌까지 위협"" 네이처 에...",2021.05.04 | 세계일보 | 다음뉴스,더 악화했다는 뜻이다. 이번 연구 참가자들은 모두 백인이었고 평균 연령은 69세의 고령자였다. 특히 이 논문에는 소염진통제가 뇌의 염증반응을 줄이는 데 도움이 될 수...
농림·어업인 10명 중 4명 고령자..종사자 수도 감소,2021.04.27 | YTN | 다음뉴스,우리나라에서 농업과 어업에 종사하는 사람 10명 중 4명은 65세 이상 고령자인 것으로 나타났습니다. 통계청이 발표한 지난해 농림·어업 총조사 결과를 보면 국내 농림...
"""중환자·사망자 최소화 목표""..고령자 접종 확대 박차",2021.05.08 | KBS | 다음뉴스,[앵커] 70세에서 74세 고령층의 백신 접종 예약이 다음달 3일까지 진행 중입니다. 첫 날인 그제 하루 접종 대상자의 10% 이상이 예약을 마쳤는데요. 코로나19 사망자 대부분...
이틀 연속 500명대..고령자 접종 확대 박차,2021.05.08 | KBS | 다음뉴스,[앵커] 코로나19 신규확진자는 어제 0시 기준 525명으로 이틀 연속 500명대를 기록했습니다. 70세에서 74세 사이 고령층 예방접종 예약은 계속 진행 중입니다. 취재기자...
"日정부 ""'고령자' 화이자 백신 부작용, 크게 낮아"" 중간 분석",2021.04.09 | 뉴시스 | 다음뉴스,김예진 기자 = 일본 정부의 분석 결과 미국 화이자의 코로나19 백신의 부작용이 고령자의 경우 크게 낮은 것으로 조사됐다. 9일 요미우리 신문에 따르면 후생노동성 연구반...
"중부해경청, 옹진군 도서지역 고령자 백신접종 이송 지원 앞장",2021.05.01 | 내외뉴스통신,김형만 선임기자중부지방해양경찰청(이하 중부해경청)은 지난 30일 옹진군 도서지역 고령자 백신접종 이송을 위한 해양경찰 경비함정 근접호송 등 지원 계획을 밝혔다.세부...
고령자 건강 맞춤형 토탈케어 플랫폼 서비스 완성,2021.04.18 | 새전북신문,"원장 김동수/사진)이 도내 IT 전문 기업 체인 주식회사 필컴, 아람솔루션과 함께 ‘고령자 건강 맞춤형 토탈케어 플랫폼’ 서비스를 완성 했다. 고령자 건강 맞춤형 토탈..."
"일본, 3천600만명 고령자 대상 코로나19 백신 접종 시작",2021.04.12 | 연합뉴스 | 다음뉴스,(도쿄=연합뉴스) 김호준 특파원 = 일본에서 12일 65세 이상 고령자를 대상으로 한 신종 코로나바이러스 감염증(코로나19) 백신 접종이 시작됐다. 교도통신에 따르면 이날...
고령자 백신접종 계획 확실히 밝혀라,2021.04.27 | 전주일보,빨리 더 많은 접종이 이뤄지도록 해야 한다.”라고 강조했다고 한다. 김 의원은 고령자 가족 동반 사정을 고려하여 주말과 야간 접종을 추가하고 접종 대상자의 불참에 대비...
[포토]코로나시대 이후 고령자 여가생활 전망은?,2021.04.21 | 매일경제 | 다음뉴스,포럼'에서 장태수 단국대학교 교수가 '포스트 코로나 시대의 웰니스관광과 고령자 여가생활' 주제발표를 하고 있다. [유용석 매경닷컴 기자 yalbr@mk.co.kr] [ⓒ 매일경제...
"[동네방네]성북구·SH·연세대, 고령자 지원주택 '희망아지트' 조성",2021.04.15 | 이데일리 | 다음뉴스,"성북구가 SH, 연세대학교와 함께 관내 어르신들의 주거안정을 목적으로 9일 고령자를 위한 지원주택인 ‘희망아지트’를 조성하기 위한 상호협력 업무협약을 체결하였다..."
"수원시, 고령자 면허증 반납하면 수원페이 10만원 드려요",2021.05.03 | NSP통신,(경기=NSP통신) 조현철 기자 = 경기 수원시(시장 염태영)가 65세 이상 고령자가 운전면허증을 자진 반납하면 지역화폐 10만원을 지급한다. 3일 시에 따르면 수원시에 주소를...
"옥천경찰서 , 고령자위한 교통사고 예방 실버마크 스티커 제작·배포",3시간전 | 한국공보뉴스,[한국공보뉴스/충북광역본부] 조창현 기자 옥천경찰서(서장안창익)는 지난10일 관내65세이상고령운전자교통사고예방을위해실버마크1000매제작하여배포 하였다고 밝혔다.실버...
양평 고령자복지주택 지정 '청신호',2021.04.14 | 인천일보,"10시 30분, 양평읍 공흥리 310번지 일원에서 양평군이 국토부에 공모 신청을 낸 고령자복지주택 현장 실사가 진행됐다. 양평군은 지난달 국토부가 주관하는 고령자복지주택..."
"민주당, '고령자 종부세·청년 대출 규제' 완화 검토",2021.04.12 | 채널A | 다음뉴스,"정도까지 부동산 규제를 완화할지 고민이 깊은데요. 청년들에겐 대출 규제 완화, 고령자들에겐 종부세 완화 두 방안을 우선 검토하고 있습니다. 최수연 기자입니다. [리포트..."
아산시 고령자 코로나19 발생 속출,2021.04.28 | 온양신문,최근 들어 아산시에서 60대 이상 고령자의 코로나바이러스감염증-19(코로나) 확진 환자가 속출하고 있는 가운데 4월 28일에도 80대 환자가 발생했다. 아산시에 의하면...
[CEO건강학 153] 고령자에게 치명적인 봄을 만드는 폐렴,2021.04.12 | 이코노미조선 | 다음뉴스,세균이나 바이러스가 더욱 잘 침투해 폐렴을 일으킨다. 따라서 면역력이 약한 고령자는 폐렴에 취약할 수밖에 없다. 건강한 성인은 적절한 치료와 휴식 등으로 비교적 쉽게...
"""이 속도면 8월까지 끌어""..더딘 고령자 접종에 속터지는 시민들[...",2021.04.27 | 헤럴드경제 | 다음뉴스,한 달이 다 돼 가도록 감감무소식”이라며 답답함을 토로하고 있다. 75세 이상 고령자 백신 접종이 지연되는 가운데 65~74세 노인들의 접종이 오는 5월 시작될 예정이어서...
"고령자 3600만명 접종 시작한 日, 확보 백신은 5만명분",2021.04.12 | 뉴스1 | 다음뉴스,이뤄지고 있다. © 로이터=뉴스1 (서울=뉴스1) 박병진 기자 = 일본에서 65세 이상 고령자 3600만명에 대한 신종 코로나바이러스 감염증(코로나19) 백신 접종이 시작됐다...
"NS홈쇼핑, 어버이날 맞아 성남시 고령자 2000명에 선물 전달",2021.05.04 | 뉴스웍스,"대상은 성남시 수정 노인 종합복지관, 태평3동 주문센터, 신흥3동 주민센터 3개소의 고령자 2000명이다. 거동이 불편한 대상자에겐 자원봉사자가 직접 집으로 선물을 배달..."
오늘부터 고령자 접종 예약..다음 주 백신 숨통 트인다,2021.05.06 | KBS | 다음뉴스,[앵커] 오늘(6일)부터 70에서 74세 어르신과 만성중증호흡기질환자들의 백신 접종 예약이 시작됩니다. 코로나19 백신의 일시적인 부족으로 접종자 수가 더디게 증가하는...
"보험사, 가입문턱 낮춘 간편심사보험으로 고령자·유병력자 공략",2021.04.25 | 글로벌이코노믹,"보험시장이 포화상태에 이르면서 고령자와 유병력자가 새로운 고객층으로 부상하고 있다. 사진=한화생명, 교보생명, ABL생명 보험시장이 포화상태에 이르면서 고령자와..."
"김영록 전남지사, AZ 백신 맞아 ""고령자 접종 차질 없어야""",2021.04.11 | 연합뉴스 | 다음뉴스,"백신을 맞았다. 지난 8일 정부가 일부 연령층에 대해 AZ 백신접종을 보류했으나, 고령자 접종까지 차질을 빚어지지 않도록 독려하는 차원에서 김 지사의 접종이 이뤄졌다는..."
오늘부터 고령자 접종 예약..다음 주 백신 숨통 트인다,2021.05.06 | KBS | 다음뉴스,[앵커] 오늘(6일)부터 70에서 74세 어르신과 만성중증호흡기질환자들의 백신 접종 예약이 시작됩니다. 코로나19 백신의 일시적인 부족으로 접종자 수가 더디게 증가하는...
우리 할머니 백신 언제?..속도 못 내는 고령자 접종,2021.04.20 | 뉴스1 | 다음뉴스,있다. 2021.4.19/뉴스1 © News1 박지혜 기자 (서울=뉴스1) 김태환 기자 = 65세 이상 고령자의 코로나19 예방접종 속도가 기대에 못 미치고 있다. 접종에 필요한 백신 총량을...
"장애인, 고령자 등 누구나 편리한 서울다누림버스 타고 안전한 여...",2021.05.03 | 문화뉴스,"서울다누림버스를 운행한다고 밝혔다. 서울다누림버스는 서울관광재단에서 장애인, 고령자 등 관광 약자를 포함한 누구나 여행이 편리한 서울을 위한 ‘유니버설 관광환경..."
"日 고령자 3600만명, 다음주부터 코로나19 백신 접종 시작",2021.04.11 | 한국경제 | 다음뉴스,일본에서 65세 이상 고령자를 대상으로 한 신종 코로나바이러스 감염증(코로나19) 백신접종이 시작될 예정이다. 10일 요미우리신문에 따르면 접종 대상 고령자는 3600만명...
日 고령자 접종 시작했지만..도쿄 배정물량 달랑 2000명분,2021.04.12 | 중앙일보 | 다음뉴스,일본에서 12일부터 65세 이상 고령자 3600만명을 대상으로 한 신종 코로나바이러스 감염증(코로나19) 백신 접종이 시작됐다. 하지만 유럽에서 들어오는 화이자 백신 공급...
