id,question
277,몸이 쑤셔
278,온 몸이 찌뿌둥 하네
279,오늘은 쉬고 싶어
280,몸이 아픈 것 같아
281,몸이 안 좋아
282,몸이 많이 아파
283,기운이 없어
284,심심해
285,우울해
286,넌 기분이 어때?
287,기분이 어때
288,제 감정이 이상해진 것 같아요. 남편만 보면 화가 치밀어 오르고 감정 조절이 안되요.
289,더 이상 내 감정을 내가 컨트롤 못 하겠어.
290,하루종일 오르락내리락 롤러코스터 타는 기분이에요.
291,평소 다른 일을 할 때도 비슷해요. 생각한대로 안되면 화가 나고…그런 상황이 지속되면 폭발해버려요.
292,예전보다 화내는 게 과격해진 거 같아.
293,화가 안 참아져.
294,나도 그런 거 아닌가 걱정돼.
295,"처음엔 치료 받으면 낫겠지 생각했는데, 낫지도 않고 계속 병원을 다니니까 너무 걱정되요."
296,수술한다는 말에 얼마나 걱정이 되던지…
297,평생 이렇게 살아야할까봐 걱정이야.
298,나도 혈압이 높은 편인데… 요즘 몸도 안 좋고 해서 자꾸 걱정이 되네..
299,나도 이러기 싫은데 자꾸 건강을 걱정하게 돼.
300,위염이 위암이나 다른 암으로 발전하면 어떡하지. 이런 생각을 많이 하는 것 같아요.
301,괜히 진짜 큰 병이면 어쩌나 싶기도 하고… 별거 아닌 걸로 병원 가는 것도 좀 그렇기도 하고.
302,"수술도 잘 됐고, 의사도 회복만 잘 하면 된다는데 자꾸 걱정이 돼요."
303,학자금은 언제 다 갚나… 아직도 몇 년은 더 남았는데…
304,경제적인 문제만 좀 풀려주면 좋겠는데… 쉽지가 않네요.
305,언제쯤 저는 돈 걱정 없이 살 수 있을까요?
306,내가 이 회사를 다니는 게 맞나… 그런 생각도 들고요.
307,앞으로 집은 어떻게 사나 싶어요.
308,좋은 환경에 있어도 잘될까 말까 하는데… 이런 환경에서 사람답게 살 수 있을까?
309,걱정이 돼서 밤에 잠이 안 와.
310,또 못 자면 어떡하지? 하고 걱정이 드는데 그거 때문에 더 못 자는 거 같아요.
311,언제 또 이렇게 못 잘 지 모르겠고… 또 못 자게 될까봐 그게 걱정돼.
312,위염인 줄 알았는데 암이었다는 사람도 있었고… 걱정이 되지.
313,"간암도 초기에는 잘 모른다고 하니까… 내가 간암일 수도 있지 않나, 내가 간암이면 어쩌나 그런 걱정도 해."
314,암이면 어떻게 하지?
315,하루종일 딸만 생각하고 있어.
316,하루종일 아들만 생각해.
317,딸 걱정 때문에 다른 일도 잘 못 하겠어.
318,주변에서는 나이도 어린데 뭔 그런 걱정이냐고 하는데 그래도…
319,주변 사람들은 제가 너무 걱정이 많다고 하는데 모르겠어요.
320,그냥 뭘 사거나 아니면 말을 할 때도 다른 사람이 어떻게 생각할지 걱정해요.
321,선생님은 수술 잘됐다고 안심하라고 하는데 밤만 되면 나도 병이 재발하는 게 아닌가 싶고…
322,"또 크게 어지럼증이 느껴져서 쓰러지기라도 하면 어떡하나, 큰일이 나면 어쩌나 싶더라구."
323,또 그런 증상이 나타날까 봐 걱정되네요.
324,누가 나 좀 위로해줬으면 좋겠다…
325,나만 어디 버려져 있는 느낌이에요.
326,세상에 저 혼자 있는 거 같아요.
327,내가 정말 황당해서…
328,처음에 그 얘기를 들었을 때는 너무 황당한 거예요.
329,기사님한테 세워달라고 할 수도 없고…
330,이러다 죽는 게 아닌가 싶을 정도였어.
331,무서워서 이를 악 물었는데 얼마나 세게 물었는지 나중에는 턱이 얼얼하더라구.
332,으… 보기만 해도 비명이 바로 튀어 나온다.
333,원래 새 봐도 별 느낌이 없었거든.
334,근데 학교에서 비둘기가 막 낮게 날면서 위협한 이후로 새들이 무서워졌어.
335,"멀리서 비둘기 보여도 갑자기 달려들까봐 피하고, 가까이 오면 소리지르고 난리도 아니야."
336,저도 살아 숨쉰다는 느낌을 받고 싶어요. 지금은 죽어있는 느낌이예요.
337,외롭다는 생각도 모르고 그냥 적응하고 살았는데… 가끔은 내 인생은 왜 이럴까..서글프게 느껴져요.
338,세상에 제 편은 아무도 없는 것 같아요. 먼지처럼 사라져도 아무도 모르겠죠?
339,작은 소리에도 깜짝깜짝 놀라고… 정상적인 생활이 안 돼요.
340,장난이라고 하는데 자꾸 생각나고 신경 쓰여요.
341,다들 신경이 극에 달했던 것 같아.
342,그렇게 몇 개월 다니다 보니까 사람 할 짓이 못되더라고요.
343,그거 때문에 괴로워서 미칠 거 같아요.
344,저 진짜 상처 너무 많이 받는데… 그 사람을 놓을 수가 없어요.
345,기분이 계속 다운된 상태였어요.
346,혼자 깊은 감옥에 갇혀서 못 빠져나오는 느낌?
347,다 맘에 안 들고 기분이 안 좋아요.
348,그런 걸 기시감이라고 하지?
349,"친구랑 한 번도 안 가본 빵집에 갔는데, 왠지 되게 익숙한 기분이 드는 거야."
350,긴장을 해서 그런가?
351,물론 많이 떨기는 하지만요.
352,아무것도 아닌 일에 자꾸 긴장이 되고…
353,너무 긴장해서 운전대 잡은 손이 땀이 나고 온 몸에 힘을 주고 운전하니까 몸살 난거처럼 여기저기 아프고…
354,멀리서 걸어오는 사람만 봐도 가슴이 두근거리고 긴장이 되더라고요. 정말 큰일이에요.
355,일이 해도해도 끝이 없으니까 눈물이 날 정도였어요.
356,그래서 많이 울었어요.
357,눈물이 날 거 같더라고.
358,너무 답답해요.
359,너무 답답해서 미칠 거 같을 때가 있어요.
360,눈앞이 깜깜할 때도 있어요.
361,사람이 많은 자리라서 그런지 굉장히 갑갑하게 느껴졌어.
362,기차에서 내려서 서울 시내로 가잖아? 그럼 더 답답해.
363,무슨 사람이 그렇게 많은지…
364,말문이 턱 막혔어…
365,좀 당황스럽기도 해.
366,"내 직업이 사람 만나는 일인데, 너무 당황이 되는 거야."
367,저도 꼭 그럴 것만 같아서 너무 두려워요.
368,너무 두려웠어요.
369,눈 뜨는게 두렵네요.
370,"다행히 고속도로였고, 휴게소가 바로 보여서 죽을 힘을 다해서 운전했어요."
371,이제 운전을 못하겠어. 안 한 지 꽤 된 거 같아.
372,사고 이후로 운전하는 게 무서워서 못하게 됐어요.
373,차는 타면 뛰어내리고 싶은 정도예요.
374,차에 타면 뛰어내리고 싶을 정도야.
375,사고난 이후로 차 탈 때 조수석에는 안 타게 되더라.
376,그때는 그냥 얼떨떨했던 거 같아요.
377,마음이 하루종일 붕 떠 있고… 멍하고…
378,하루가 멍하게 지나가는 것 같아요.
379,그래도 뭐 다른 방법이 없으니까…
380,내가 모를 줄 알고?
381,오히려 외로움 느낄 틈 없이 잘해줘요.
382,그냥 내일 아침에 일어났을 때 죽어있었으면 좋겠어요.
383,그럴 때마다 나는 들을 수밖에 없고.
384,내일이 없었으면 좋겠다고 생각해.
385,근데 요즘엔 하나도 즐겁지가 않아.
386,예능 프로를 봐도 하나도 안 웃기던데요.
387,배를 잡고 웃어본게 언제였나 싶어요.
388,전망대 같은 데 가려고 계단 올라가잖아. 올라가다가 뒤돌아보면 너무 까마득해서 기절할 것 같았어.
389,무서워 죽겠어요. 그건 겪어본 사람만 알아요.
390,태어나서 이런 경험은 처음이었어요. 정말 너무 무서웠어요.
391,그래서 아이들한테 항상 그게 좀 미안했어요.
392,첫째한테 하도 못 해준 게 많으니까… 너무 미안해서…
393,애들한테 미안해 죽겠어요.
394,그래서 막 남자친구도 미워지려고 하고 그래요. 걔 잘못이 아닌데.
395,근데 괜히 새언니가 내 오빠를 뺏는 것 같아서 괜히 미워.
396,그리고 나는 이렇게 힘든데 혼자 밥 잘 먹는 것도 밉고 그래요.
397,"아, 진짜 배신감 쩔어."
398,처음엔 배신감이 들었죠.
399,그래서 되게 배신감 느꼈어. 진짜 말할 줄 몰랐거든.
400,요즘 그런 생각이 들어. 뭘 위해서 사는 걸까….
401,"사는 게 재미도 없고, 되는 일도 없는데 이렇게 사는 게 의미가 있을까?"
402,내가 없으면 주변 사람들이 슬퍼하니까? 그 사람들 때문에 사는 건 답이 아닌 것 같아.
403,버렸는지 뭔지 내가 어떻게 알아?
404,진짜 어이없고 화가 나서 숨이 턱 막히는 거야.
405,어떻게 나한테 말도 한마디 없이 그럴 수가 있지?
406,"어휴, 그런 말은 나도 하겠네."
407,부모 같지도 않은 부모랑 사는게 어떤 건지 알아?
408,제가 무슨 죄를 지어서 이런 남자를 만난 걸까요?
409,자기 몸 아니라고 약도 아무렇게나 지어주는 것 같아. 도대체가 사명감이란게 없어!
410,가해자 남편이 있는 병원이라서 그런지 뭔가 찝찝했어요.
411,그때 뭔가 속은 기분이 들었어요.
412,불안해서 가만히 있을 수가 없어.
413,"전남친한테 폭행당하고, 너무 불안해서 생활이 안돼요."
414,"근데 진짜 웃긴 게 지난 번에 그렇게 확인했는데, 회사 나왔는데, 뭔가 불안한거야."
415,치매 걸리는 건 아닌가 불안하더라고요.
416,작년부터는 더 불안해졌어요.
417,크게 못 느끼고 있었는데 막상 그 얘길 들으니까 더 불안하고 긴장되는 느낌이었어.
418,평소 때도 늘 불안하고 떨려.
419,늘상 불안하고 떨려.
420,"슬슬 결혼도 해야 하는데, 어떻게 먹고 살아야 하나 가끔 그런 생각이 들 때가 있어요."
421,나중 일 생각하면 불안해요.
422,가끔 앞날 생각하면 불안하긴 해요.
423,어떨 때는 들리고 어떨 때는 괜찮으니까… 언제 그런 증상이 나타날까 불안해.
424,증상이 1~2일에 한번씩 반복됐어요. 언제 나타날지 모르는 증상 때문에 너무 불안했어요.
425,"다시 공황 증상이 올까봐 불안하긴 했는데, 버스를 아예 못 타는 건 아니야."
426,또 그럴까 봐 너무 불안해.
427,너무 불안하고 초조해서 잠이 올 생각을 안해..
428,하루종일 불안하고 초조해.
429,불안하고 초조한 느낌이 늘 베이스로 깔려 있는 거 같아.
430,아파서 그런지 자주 불쾌해져요.
431,다들 표정이 무섭고 딱딱해서 싫어.
432,진짜 지질하지? 남자한텐 아무 말도 못 하고 여자나 패고…
433,행동도 부자연스러워지고...웃는게 웃는게 아니었어요.
434,제 주변에 있는 모든 것들이 다 불편했어요. 고등학교 때 특히 심했던 것 같아요.
435,겉으로는 축하해줬는데 마음은 불편해요.
436,"속 마음 터 놓을 친구도 없고, 엄마 아빠는 잔소리만 하고, 시험은 떨어지고…"
437,나만 빼고 다 잘났어.
438,이렇게 사는게 맞나 싶어요.
439,"죽여버리고 싶어요, 정말."
440,밥에 농약이라도 타서 죽여버리고 싶어요.
441,내가 잔인하게 죽여버릴 거야.
442,"근데 오늘은 진짜, 하, 어이가 없어서…"
443,요즘 보통 다 종이로 안 받잖아? 근데 이건 뭔가 했지.
444,아니 어떻게 자식이 아픈데 그런 식으로 말을 할 수가 있어요?
445,"이제 저랑 다른 삶을 살겠구나 싶어서 좀 서운하기도 하고, 잘 됐다 싶기도 하고.. 기분이 이상해요."
446,"이제 내가 우선이 아니라, 새언니가 우선이 될 거라는 생각을 하니까 그냥 서운해."
447,"엄마가 저보고 너는 니가 벌어서 시집가라고. 너 줄 돈은 없다고 하는데, 기분이 좋진 않았어요."
448,오빠가 그동안 돈 대느라 고생한 건 알지만 할아버지가 남긴 주택까지 팔고 하는 거 보니까 괜히 속상했어요.
449,엄마도 없이 애한테 못 할 짓 한다고 생각하니까 속상하더라고요.
450,내가 집에서는 전혀 존중 받지 못한다는 느낌을 받았어.
451,"원래 이렇지 않았는데, 두 달 정도 된 것 같아. 교육 중에 장애 가진 아이들 사례가 나오는데, 너무 슬픈거야."
452,평소에는 목 끝까지 울음이 차있는 느낌이야.
453,누가 콕 찌르면 울 거 같은 느낌.
454,신경이 거슬려서 벽에 걸려 있던 시계 건전지를 뽑아버렸어요.
455,"그래 뭐, 혼자 다녀도 되지 라는 생각으로 혼자 다니는데, 신경이 안 쓰일 수가 없더라."
456,"자꾸 걔 눈치를 보게 되고, 말하다가 내가 실수할까봐 엄청 신경쓰게 되고…"
457,"아무리 생각해도 왜 그런건지 모르겠는데, 물어보기도 뭣하고…"
458,대체 뭐가 문제인지 모르겠어…
459,진짜 어떻게 하면 좋을지 모르겠다…
460,나보다 못 했던 사람들 다 붙었는데… 내가 운이 너무 안 좋은 거 같다는 생각도 들어.
461,그런데 항상 화살이 제 쪽으로 날아왔어요.
462,"나한테, 왜 하필 나한테 이런 일이 일어나나 싶고…"
463,내가 너무 예민해있으니까 팀원들이 날 피하는 게 느껴져.
464,나한테 왜 그렇게 예민하냐고 그러더라?
465,요즘 남편이 왜 그렇게 예민하냐고 그러더라.
466,주변에 있는 것들이 다 예민하게 다가왔어요.
467,"갈 데가 교회 뿐인데, 교회 사람들도 내 또래가 없어서 외로워."
468,저도 적적하잖아요.
469,너무 외로워요.
470,특별히 아무 일도 없는데 그냥 우울해요.
471,그냥 하루종일 제 감정이 우울한 거 하나인 거 같아요.
472,엄마랑 크게 싸운 다음부터 기분이 완전히 바닥을 쳤어요.
473,좀 지나보니까 제가 그때 우울했던 거 같아요.
474,평소에 우울하죠.
475,"아무 일도 없는데, 우울해서 그냥 펑펑 울고 싶을 때가 있어요."
476,내가 너무 바보 같아요. 시도 때도 없이 눈물이 나고 우울해요.
477,한 번 우울해지면 깊게 빠지는 것 같아. 옆에서 누가 뭐라고 하면 감정이 격해지면서 울 것 같아.
478,근데 대학 들어오니까 또 우울해져가지고…
479,이번에도 그렇게 하루 이틀 지나면 기분이 나아질 거라고 생각했는데…
480,우울감이 이렇게 길게 이어진 적이 없어요.
481,우울증이 다시 도진 거 같아.
482,내 마음이랑 상관없이 주기적으로 우울증이 오는 것 같아.
483,집에 와서도 계속 생각나고 우울하고 그래요. 한 이틀 가는 것 같아요.
484,딱히 잘하는 것도 없는 거 같고… 내세울 것도 없고요.
485,"저쪽은 취업을 했는데, 나는 계속 백수니까 주눅드는 것도 있고."
486,아무도 날 좋아하지 않는 거 같아요.
487,다 제 잘못이에요.
488,이웃이나 친척들도 이제 취업했냐고 안 물어보더라?
489,내 꼴이 그렇게 백수 같은가…
490,이도 저도 못하니까 스스로 좀 한심하다는 생각도 해.
491,다른 사람들은 저러고 살아서 행복할까?
492,다들 뭘 바라고 그렇게 열심히 사는지 이해가 안 돼.
493,의욕도 안 나고… 세상이 싫고… 그냥 사춘기인 줄 알았거든요.
494,이거 다니는 게 소용이 있나 싶어요.
495,"수업 들으러 가야 하는데 일어나는 것도 힘들고, 귀찮아서 많이 빼먹었어."
496,집에 늘어져 있으니까 아무것도 하기 싫어요.
497,예전에는 재밌었던 게 지금은 너무 하기가 싫어.
498,내 자신이 끔찍하게 싫어.
499,작은 소리에도 깜짝깜짝 놀라고…내가 너무 초라해.
500,식당 아줌마로 늙어가는게 한심스럽게 느껴지고…
501,경제적으로는 문제가 없는데.. 그냥 자격지심같은거예요
502,죽고만 싶어.
503,먼지가 되고 싶어.
504,그냥 공기 중으로 스르륵 사라졌으면 좋겠어.
505,뭘 잘해나갈 자신이 없어요.
506,남들보다 뒤처진다는 생각이 점점 들어.
507,남들은 다 저만치 가는데 나는 혼자 여기 멈춰 서서 뭘 하고 있나 싶고.
508,남자친구가 워낙 괜찮으니까 한편으론 제가 너무 차이나는 느낌이었어요.
509,남들이 우리를 어떻게 생각할까 신경쓰게 되고… 자존감이 낮아지는 것 같았어요.
510,"남친 때문에 아무것도 못하겠고, 자존감이 더 떨어지는 기분이야."
511,"그만둘까도 생각했는데, 당장 대출에 카드값에… 생각하면 더 절망스러워."
512,전 제가 세상에서 제일 불행한 것 같아요.
513,나에게 더 이상 자유는 없는 걸까요?
514,저는 이제 망했어요…
515,시간이 갈수록 열심히만 한다고 다 되는 게 아니란 걸 알겠더라.
516,내가 최선을 다 해도 안 되는 일이 있는 거 같아…
517,이젠 포기했어…
518,"그런 소릴 들으면 아, 내가 충분히 할 수 있는 일인데… 내가 너무 게으르다. 하면서 죄책감이 들어요."
519,좋기도 했는데… 굉장히 죄책감이 들었어요.
520,괜히 사람 마음 찔리게.
521,확실히 외로움도 덜 느껴지고 좋더라고요.
522,원하는 과에 드디어 들어갈 수 있게 되서 너무 좋아.
523,제주도나 일본도 아니고 러시아라니까 처음엔 신났지.
524,"항상 그런 식이야, 항상…"
525,내가 힘을 안 내고 싶은 게 아니잖아요.
526,저번엔 진상도 진상도 그런 진상이 없었어.
527,"요즘 뭐 청춘, 청춘 하는데… 다들 모르는 소리들 하는 거 같아요."
528,남자가 쪽팔리게 새 무서워한다고 말하기 창피하잖아요.
529,부끄럽고 창피해서 목을 계속 손으로 가리게 돼.
530,아무렇지 않게 있다가 갑자기 이러니까… 너무 쪽 팔려.
531,사람이 언제 홱 바뀔지 모르니까 항상 초조하지.
532,일도 다시 시작하고 싶고… 일상으로 돌아가고 싶은데… 낫질 않으니 너무 초조합니다.
533,그래도 조마조마할 때가 있긴 해…
534,충격을 많이 받았어. 내가 볼 때는 마냥 밝아만 보였거든.
535,솔직히 진짜 충격이었지.
536,거울을 보고 너무 깜짝 놀랐어요.
537,운전에 방해가 되는데도 멈출 수가 없어요.
538,택시에서 내렸는데 정신을 못 차리겠더라고요.
539,그런데 자제가 안 돼.
540,인생이 허무하게 느껴지고… 내 손에 남은 게 뭐가 있나 싶어요.
541,아무리 말려도 소용이 없더라.
542,계속 이러다 보니까 이런 게 다 무슨 소용인가 싶기도 하고…
543,나도 모르게 버럭 화 낼 때도 있고.
544,나도 모르게 화를 낼 때도 있어요.
545,동물은 물건이 아니잖아요!
546,내가 미쳤지.
547,"좋은 애였는데, 그땐 왜 그랬는지… 그렇게 잘해주지도 못했어."
548,그것만 내가 안 먹었어도 괜찮았을 텐데…
549,결혼 괜히 했다 싶어… 오빠만 믿고 시집온건데…오빠는 모든 상황을 방관하고 있어.
550,나 결혼 괜히 했나 봐..
551,강박처럼 일해야 만족하는 내 자신이 너무 싫어.
552,마음이 너무 힘든 거야. 기댈 상대가 있었으면 좋겠다는 생각을 했어.
553,"동생 사고칠 때마다 남편 보기 창피하고, 모른 척 하고 싶어도 엄마 때문에 그러지도 못하고… 힘드네요."
554,아빠 죽었다는 말에 눈물도 안 나왔어요. 그냥 내가 불쌍했어요.
555,"하루종일 일에 매여서 일 생각만 하고, 별 것 아닌 건데 스트레스 받고...즐겁지가 않아."
556,스트레스가 너무 심하네요.
557,스트레스 받아서 진짜 죽을 거 같아요…
558,이제 이러는 것도 지쳐요.
559,너무 지친다…
560,갈수록 지쳐요…
561,정말 뭔 이상이 있는 것 같아서 일단 병원 와봤어요.
562,그래서 이거 상담 차 한 번 와봤어요.
563,사실 이 상담도 돈 아까웠는데 그래도 혹시 하는 맘에 와봤어요.
564,쭉 이러다 보면 정말 자살할 것 같아서 상담 받으려고 와봤어요.
565,근데 선생님이 정신과 상담 권유하셔서… 그래서 와 봤어요.
566,선생님이 정신과 한 번 가보라고 하셔서 오긴 왔어요.
567,지금 방학했으니까 아예 한국에서 치료 받으려고 왔어요.
568,이게 아무래도 제 정신적인 문제 같아서 치료 받으러 왔어요.
569,어떻게 뭔 치료가 없을까 해서 그거 알아보다가 왔어요.
570,그런데 살아보니까 그렇지도 않아요.
571,그런데 지금은 아니야…
572,옥상에 올라가서 찬바람을 맞으니까 정신이 확 들었어요.
573,"누나가 혼내는 게 아니라, 다 이해한다고 그러는데 진심으로 고마웠어."
574,"남편이 4형제 중에 둘째인데, 시어머니가 남편을 별로 안 좋아하는 것 같아요."
575,나갔다가 들어왔더니 엄마가 뭐라는 줄 알아?
576,"언니는 커튼을 자주 치는데, 제가 자꾸 못 하게 막으니까… 집에서 나가고 싶대요."
577,새언니도 별로 잘난 건 없거든?
578,가족 중에 저한테 신경을 쓰는 사람이 없어요.
